ID,Date,Time,Location,Lat,Lng,Region,Vehicle_Type,Weather,Road_Type,Light_Condition,Severity,Cause,Injuries,Fatalities,Driver_Age,Age_Group
20250001,2025-11-24,08:47,"Charminar Area, Hyderabad",17.353947,78.463886,South,Car,Foggy,City Road,Daylight,Fatal,Road rage,2,2,39,26-40
20250002,2025-10-15,09:41,"Gomti Nagar, Lucknow",26.868048,80.986013,North,Truck,Cloudy,National Highway,Daylight,Major,Tailgating,6,0,54,41-60
20250003,2025-04-21,20:21,"FC Road, Pune",18.513282,73.828801,West,Bicycle,Clear,Rural Road,Darkness (Unlit),Major,Using phone while driving,7,0,33,26-40
20250004,2025-07-05,15:45,"Park Street, Kolkata",22.539375,88.343037,East,Motorcycle,Clear,State Highway,Daylight,Major,Over-speeding,6,0,36,26-40
20250005,2025-07-01,09:17,"Gomti Nagar, Lucknow",26.8798,80.998841,North,Truck,Rainy,City Road,Daylight,Minor,Poor road condition,2,0,55,41-60
20250006,2025-10-13,09:20,"Victoria Memorial Area, Kolkata",22.55308,88.334471,East,Car,Clear,State Highway,Daylight,Minor,Over-speeding,2,0,36,26-40
20250007,2025-04-19,16:25,"Kothrud, Pune",18.506166,73.800646,West,Motorcycle,Clear,State Highway,Daylight,Minor,Distracted driving,3,0,18,<26
20250008,2025-03-12,14:05,"Rajpath, Delhi",28.601113,77.197389,North,Truck,Foggy,City Road,Daylight,Minor,Signal violation,4,0,69,60+
20250009,2025-08-28,15:35,"MG Road, Bangalore",12.977009,77.583037,South,Van,Foggy,Rural Road,Daylight,Major,Overloading,7,0,57,41-60
20250010,2025-05-15,21:48,"Pink City Road, Jaipur",26.91263,75.775492,North,Truck,Windy,City Road,Darkness (Lit),Minor,Tire burst,4,0,38,26-40
20250011,2025-09-29,19:38,"Mall Road, Shimla",31.104458,77.161756,North,Motorcycle,Windy,Rural Road,Twilight,Major,Pedestrian error,2,0,22,<26
20250012,2025-09-30,17:08,"Hitech City, Hyderabad",17.442758,78.378794,South,Motorcycle,Cloudy,City Road,Daylight,Minor,Vehicle malfunction,1,0,26,26-40
20250013,2025-06-09,13:42,"Kothrud, Pune",18.503603,73.819688,West,Motorcycle,Rainy,National Highway,Daylight,Major,Over-speeding,4,0,25,<26
20250014,2025-02-04,19:55,"Paltan Bazaar, Guwahati",26.169126,91.74414,East,Truck,Clear,National Highway,Twilight,Major,Tire burst,8,0,33,26-40
