ID,Date,Time,Location,District,Lat,Lng,Region,Vehicle_Type,Weather,Road_Type,Light_Condition,Severity,Cause,Injuries,Fatalities,Driver_Age,Age_Group
20250001,2025-07-26,12:38,"Ranni Road, Pathanamthitta",Pathanamthitta,9.375526,76.774098,South,Car,Rainy,City Road,Daylight,Major,Using phone while driving,5,0,22,<26
20250002,2025-04-21,17:50,"Seaport-Airport Road, Kochi",Ernakulam,10.035036,76.362476,South,Motorcycle,Rainy,National Highway,Daylight,Fatal,Distracted driving,9,1,31,26-40
20250003,2025-08-29,10:02,"Changanacherry Bypass, Kottayam",Kottayam,9.442491,76.540805,South,Motorcycle,Stormy,National Highway,Daylight,Fatal,Distracted driving,8,1,22,<26
20250004,2025-03-24,16:28,"Perinthalmanna Road, Malappuram",Malappuram,10.985196,76.219163,South,Motorcycle,Clear,National Highway,Daylight,Minor,Over-speeding,3,0,30,26-40
20250005,2025-02-11,19:40,"Vellayambalam, Thiruvananthapuram",Thiruvananthapuram,8.50473,76.952317,South,Motorcycle,Clear,City Road,Twilight,Minor,Drunk driving,3,0,25,<26
20250006,2025-03-06,11:44,"Guruvayur Road, Thrissur",Thrissur,10.604933,76.035842,South,Van,Cloudy,City Road,Daylight,Major,Road rage,1,0,49,41-60
20250007,2025-03-31,22:26,"Karunagappally Road, Kollam",Kollam,9.063479,76.54273,South,Motorcycle,Rainy,State Highway,Darkness (Lit),Minor,Overloading,2,0,41,41-60
20250008,2025-06-22,08:25,"NH-66, Edapally Junction, Kochi",Ernakulam,10.033637,76.306386,South,Motorcycle,Rainy,National Highway,Daylight,Minor,Overloading,3,0,27,26-40
20250009,2025-08-16,08:54,"Feroke Junction, Kozhikode",Kozhikode,11.163125,75.854979,South,Car,Rainy,State Highway,Daylight,Minor,Tailgating,1,0,27,26-40
20250010,2025-02-11,18:26,Kottayam-Kumily Road (NH-183),Kottayam,9.556372,76.888233,South,Auto-rickshaw,Clear,City Road,Twilight,Minor,Distracted driving,2,0,45,41-60
20250011,2025-08-09,18:26,"Calicut Beach Road, Kozhikode",Kozhikode,11.266632,75.764926,South,Motorcycle,Rainy,Rural Road,Twilight,Major,Animal crossing,3,1,19,<26
20250012,2025-12-22,10:54,"NH-66, Alappuzha Bypass",Alappuzha,9.507492,76.342828,South,Auto-rickshaw,Clear,City Road,Daylight,Minor,Pedestrian error,2,0,51,41-60
20250013,2025-12-03,12:07,Palakkad-Coimbatore Highway (NH-544),Palakkad,10.787462,76.642231,South,Motorcycle,Foggy,City Road,Daylight,Minor,Poor road condition,3,0,31,26-40
20250014,2025-08-02,13:33,"Mavoor Road, Kozhikode",Kozhikode,11.259275,75.816461,South,Auto-rickshaw,Foggy,National Highway,Daylight,Fatal,Over-speeding,5,1,33,26-40
20250015,2025-10-25,03:03,"Aluva Bypass, Ernakulam",Ernakulam,10.098293,76.368399,South,Truck,Cloudy,City Road,Darkness (Lit),Minor,Wrong-side driving,3,0,39,26-40
20250016,2025-06-18,07:08,"NH-544, Thrissur Bypass",Thrissur,10.53643,76.219071,South,Motorcycle,Rainy,City Road,Daylight,Major,Tire burst,3,0,19,<26
20250017,2025-12-25,12:52,"Guruvayur Road, Thrissur",Thrissur,10.596547,76.04772,South,Scooter,Foggy,Residential Street,Daylight,Major,Using phone while driving,4,0,36,26-40
20250018,2025-02-06,10:46,"NH-66, Kazhakkoottam, Thiruvananthapuram",Thiruvananthapuram,8.560671,76.880792,South,Truck,Rainy,City Road,Daylight,Major,Poor road condition,1,0,51,41-60
20250019,2025-01-25,11:14,"Tirur Road, Malappuram",Malappuram,10.916932,75.913504,South,Motorcycle,Foggy,City Road,Daylight,Major,Vehicle malfunction,2,0,24,<26
20250020,2025-04-12,16:11,"Sultan Bathery Road, Wayanad",Wayanad,11.658388,76.270939,South,Bus,Windy,National Highway,Daylight,Fatal,Over-speeding,9,1,33,26-40
20250021,2025-01-17,16:41,"Vytilla Junction, Kochi",Ernakulam,9.949098,76.324801,South,Auto-rickshaw,Foggy,Rural Road,Daylight,Major,Poor road condition,1,1,41,41-60
20250022,2025-06-07,08:07,"Karunagappally Road, Kollam",Kollam,9.053217,76.544799,South,Auto-rickshaw,Clear,State Highway,Daylight,Fatal,Vehicle malfunction,4,5,25,<26
20250023,2025-08-16,16:38,"Vellayambalam, Thiruvananthapuram",Thiruvananthapuram,8.522334,76.941374,South,SUV,Rainy,City Road,Daylight,Major,Tailgating,1,0,65,60+
20250024,2025-03-09,20:56,"NH-85, Munnar Road, Idukki",Idukki,10.003332,77.055298,South,Car,Clear,National Highway,Darkness (Lit),Major,Poor road condition,3,0,40,26-40
